rollout/ep_len_mean,time/fps,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/clip_range,train/explained_variance,train/n_updates,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/entropy_loss,train/clip_fraction,train/loss,train/learning_rate
100.0,571,1,3,2048,0.0334,,,,,,,,,,
100.0,452,2,9,4096,0.026849999999999995,0.2,-5.459198951721191,10,0.010909058,-0.02756514844368212,0.038746949736378156,-1.9411613166332244,0.065087890625,-0.05012384429574013,0.0003
100.0,458,3,13,6144,0.01760655737704918,0.2,-4.902611255645752,20,0.010476034,-0.03904075166210532,0.0124962553873047,-1.9306568298488855,0.077783203125,-0.09346447139978409,0.0003
100.0,447,4,18,8192,0.013259259259259257,0.2,-4.247955322265625,30,0.013357924,-0.05024982957984321,0.005842719374959416,-1.9133707672357558,0.135205078125,-0.08864786475896835,0.0003
100.0,444,5,23,10240,0.020300000000000002,0.2,-5.549559116363525,40,0.013152616,-0.04902755237126257,0.004266176489181817,-1.8987272430211306,0.1322265625,-0.1044037938117981,0.0003
100.0,453,6,27,12288,0.01362,0.2,-2.3269448280334473,50,0.014272699,-0.05191370929242112,0.003672102542623179,-1.8852842088788748,0.1484375,-0.11097828298807144,0.0003
100.0,459,7,31,14336,0.013439999999999999,0.2,-7.039239883422852,60,0.015682325,-0.05508283120871056,0.0024373378158998094,-1.8676778625696897,0.165673828125,-0.0983084887266159,0.0003
100.0,462,8,35,16384,0.020380000000000002,0.2,-1.334428071975708,70,0.014181851,-0.05269146746431943,0.0026052665479255666,-1.8535420536994933,0.1400390625,-0.09276708960533142,0.0003
100.0,463,9,39,18432,0.02336,0.2,-5.145582675933838,80,0.017180705,-0.05910490110400133,0.0015684672443057935,-1.8496523704379797,0.196923828125,-0.11227208375930786,0.0003
100.0,464,10,44,20480,0.0138,0.2,-3.3759031295776367,90,0.016682483,-0.05604974457528442,0.0009669956926700252,-1.8220177859067916,0.197509765625,-0.04804936423897743,0.0003
100.0,467,11,48,22528,0.02957,0.2,-8.65501594543457,100,0.01669474,-0.055279108503600585,0.0007284224642717163,-1.8202286392450333,0.182373046875,-0.07475017756223679,0.0003
100.0,470,12,52,24576,0.04255,0.2,-0.37992751598358154,110,0.016887348,-0.04183537411154248,0.0039045789089868777,-1.817831426858902,0.166552734375,-0.07281488180160522,0.0003
100.0,472,13,56,26624,0.04697000000000001,0.2,-0.3611375093460083,120,0.014631381,-0.040628777680103666,0.004658431719235523,-1.7973094832152128,0.145751953125,-0.08201872557401657,0.0003
100.0,472,14,60,28672,0.04399000000000001,0.2,-1.456002950668335,130,0.01712886,-0.055737458320800216,0.001259925764225045,-1.7766909323632718,0.193603515625,-0.11718901991844177,0.0003
100.0,473,15,64,30720,0.06986,0.2,-8.069851875305176,140,0.017418101,-0.05782419848255813,0.0005411953914972401,-1.774655432254076,0.206298828125,-0.07504543662071228,0.0003
100.0,475,16,68,32768,0.04291,0.2,-0.07383871078491211,150,0.016919876,-0.0375059496058384,0.003474758909396769,-1.7654828164726495,0.184814453125,-0.0858285203576088,0.0003
100.0,476,17,73,34816,0.03786,0.2,-5.724116325378418,160,0.019016773,-0.06070516249164939,0.0005568695118654432,-1.7466630470007658,0.229833984375,-0.10039116442203522,0.0003
100.0,477,18,77,36864,0.033440000000000004,0.2,-0.1511610746383667,170,0.017483894,-0.04294937244267203,0.0016087806544419435,-1.7508430812507867,0.185400390625,-0.0846586599946022,0.0003
100.0,477,19,81,38912,0.04768,0.2,-1.5804274082183838,180,0.018354964,-0.05597394578508101,0.0003223106705945611,-1.7198093459010124,0.2228515625,-0.09744317084550858,0.0003
100.0,479,20,85,40960,0.029290000000000004,0.2,-0.01526176929473877,190,0.018919755,-0.03886092203902081,0.0022146657163830243,-1.7274664636701345,0.2044921875,-0.07543506473302841,0.0003
100.0,480,21,89,43008,0.02875,0.2,-0.2688792943954468,200,0.01923996,-0.04512115122633986,0.0013308968515730157,-1.708079846203327,0.19736328125,-0.09336904436349869,0.0003
100.0,481,22,93,45056,0.04641,0.2,-0.42600464820861816,210,0.018670667,-0.046329525249893776,0.0011960134060245765,-1.7042001027613878,0.228271484375,-0.08332138508558273,0.0003
100.0,481,23,97,47104,0.0483,0.2,0.02757418155670166,220,0.01800391,-0.03610377048898954,0.002329537568220985,-1.6867168676108122,0.20107421875,-0.05614393949508667,0.0003
100.0,480,24,102,49152,0.046869999999999995,0.2,-0.13901424407958984,230,0.018111408,-0.04507456362189259,0.0015524248944529973,-1.6837384197860956,0.2091796875,-0.0894259437918663,0.0003
100.0,480,25,106,51200,0.07454000000000001,0.2,0.3266032338142395,240,0.017050244,-0.03543816554301884,0.0018804362296123145,-1.680600019544363,0.192236328125,-0.06614766269922256,0.0003
100.0,479,26,110,53248,0.08041000000000001,0.2,0.11240369081497192,250,0.018759664,-0.03473581590515096,0.0029923914813480223,-1.6638730924576521,0.184228515625,-0.07003282010555267,0.0003
